time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-20 09:25:00,OLAELEC,LONG,48.00,16598,CLOSED,2025-08-20 09:26:00,47.76,-3983.52,SL
2025-08-20 09:25:00,BHARTIARTL,LONG,1938.10,411,CLOSED,2025-08-20 11:24:00,1928.41,-3982.59,SL
2025-08-20 09:25:00,HAL,LONG,4538.00,175,CLOSED,2025-08-20 10:01:00,4529.47,-1492.75,TRAIL
2025-08-20 09:25:00,ETERNAL,LONG,327.50,2432,CLOSED,2025-08-20 09:29:00,325.86,-3988.48,SL
2025-08-20 10:20:00,M&M,LONG,3382.00,235,CLOSED,2025-08-20 11:04:00,3365.09,-3973.85,SL
2025-08-20 09:25:00,DABUR,LONG,523.80,1521,CLOSED,2025-08-20 10:51:00,526.42,3985.02,TRAIL
2025-08-20 10:20:00,BEL,SHORT,376.00,2118,CLOSED,2025-08-20 15:29:00,371.80,8895.60,EOD
2025-08-20 11:45:00,HCLTECH,LONG,1484.50,536,CLOSED,2025-08-20 15:29:00,1496.00,6164.00,EOD
2025-08-20 09:25:00,GODFRYPHLP,LONG,10245.00,77,CLOSED,2025-08-20 09:27:00,10289.74,3444.98,TRAIL
2025-08-20 09:25:00,AUROPHARMA,SHORT,1059.50,751,CLOSED,2025-08-20 09:26:00,1064.80,-3980.30,SL
